,ID,Reason_absence,Month_absence,Day_week,Seasons,Transportation_expense,Distance_Residence_Work,Service_time,Age,Work_load_Average_day,Hit_target,Disciplinary_failure,Education,Son,Social_drinker,Social_smoker,Pet,Weight,Height,Body_mass_index,Absenteeism_hours
53,3,28,12,6,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,1
79,3,27,2,4,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,2
83,3,27,3,4,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,2
90,3,27,2,5,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,2
93,3,27,2,4,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,2
94,3,27,2,6,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,2
95,3,27,2,2,2,179,51,18,38,"264,249",97,0,1,0,1,0,0,89,170,31,2
98,3,27,3,4,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,2
103,3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
107,3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
108,3,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
111,3,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2
125,3,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
126,3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
128,3,27,3,5,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,3
130,3,27,3,5,2,179,51,18,38,"222,196",99,0,1,0,1,0,0,89,170,31,3
156,5,23,10,2,4,235,20,13,43,"265,017",88,0,1,1,1,0,0,106,167,38,2
193,10,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,8
328,15,28,5,5,3,291,31,12,40,"237,656",99,0,1,1,1,0,1,73,171,25,2
452,22,27,4,6,3,179,26,9,30,"246,288",91,0,3,0,0,0,0,56,171,19,2
453,22,27,5,6,3,179,26,9,30,"237,656",99,0,3,0,0,0,0,56,171,19,2
454,22,27,4,6,3,179,26,9,30,"246,288",91,0,3,0,0,0,0,56,171,19,2
455,22,27,4,6,3,179,26,9,30,"246,288",91,0,3,0,0,0,0,56,171,19,2
466,22,23,5,4,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,3
500,24,28,7,3,1,246,25,16,41,"230,290",92,0,1,0,1,0,0,67,170,23,2
506,24,28,9,3,1,246,25,16,41,"261,756",87,0,1,0,1,0,0,67,170,23,1
526,27,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,2
583,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
587,28,23,12,4,4,225,26,9,28,"280,549",98,0,1,1,0,0,2,69,169,24,3
688,34,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
692,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
695,34,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
696,34,27,1,4,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
704,34,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,3
